stazione_id,data,inquinante,valore
2,2019/01/18,SO2,2.5
2,2019/01/18,PM10,42
2,2019/01/18,PM25,35
2,2019/01/18,NO2,64
2,2019/01/18,O3,30
2,2019/01/18,C6H6,2.4
6,2019/01/18,PM10,54
6,2019/01/18,PM25,41
6,2019/01/18,NO2,65
6,2019/01/18,CO_8h,1
6,2019/01/18,C6H6,2.6
7,2019/01/18,PM10,44
7,2019/01/18,NO2,64
7,2019/01/18,O3,31
8,2019/01/18,NO2,
8,2019/01/18,CO_8h,
8,2019/01/18,C6H6,
1,2019/01/21,NO2,
3,2019/01/21,NO2,82
3,2019/01/21,CO_8h,1.4
4,2019/01/21,PM10,52
4,2019/01/21,NO2,
4,2019/01/21,CO_8h,
4,2019/01/21,C6H6,2.9
5,2019/01/21,NO2,
5,2019/01/21,O3,
2,2019/01/21,SO2,2.5
2,2019/01/21,PM10,47
2,2019/01/21,PM25,39
2,2019/01/21,NO2,73
2,2019/01/21,O3,31
2,2019/01/21,C6H6,3
6,2019/01/21,PM10,51
6,2019/01/21,PM25,42
6,2019/01/21,NO2,72
6,2019/01/21,CO_8h,1
6,2019/01/21,C6H6,2.7
7,2019/01/21,PM10,44
7,2019/01/21,NO2,73
7,2019/01/21,O3,33
8,2019/01/21,NO2,
8,2019/01/21,CO_8h,
8,2019/01/21,C6H6,
1,2019/01/22,NO2,
3,2019/01/22,NO2,109
3,2019/01/22,CO_8h,1.9
4,2019/01/22,PM10,78
4,2019/01/22,NO2,
4,2019/01/22,CO_8h,
4,2019/01/22,C6H6,4.2
5,2019/01/22,NO2,
5,2019/01/22,O3,
2,2019/01/22,SO2,6
2,2019/01/22,PM10,74
2,2019/01/22,PM25,62
2,2019/01/22,NO2,
2,2019/01/22,O3,13
2,2019/01/22,C6H6,4.5
6,2019/01/22,PM10,78
6,2019/01/22,PM25,39
6,2019/01/22,NO2,88
6,2019/01/22,CO_8h,1.4
6,2019/01/22,C6H6,4.3
7,2019/01/22,PM10,71
7,2019/01/22,NO2,89
7,2019/01/22,O3,13
8,2019/01/22,NO2,
8,2019/01/22,CO_8h,
8,2019/01/22,C6H6,
1,2019/01/23,NO2,
3,2019/01/23,NO2,121
3,2019/01/23,CO_8h,1.9
4,2019/01/23,PM10,82
4,2019/01/23,NO2,141
4,2019/01/23,CO_8h,
4,2019/01/23,C6H6,5
5,2019/01/23,NO2,
5,2019/01/23,O3,
2,2019/01/23,SO2,7
2,2019/01/23,PM10,77
2,2019/01/23,PM25,62
2,2019/01/23,NO2,
2,2019/01/23,O3,17
2,2019/01/23,C6H6,4.9
